Genome	17_A_MEL_host_removed_R1_1000000.fq Trimmed Mean
virome_phage_46	0
virome_phage_2315	0
total_phage_417	0
virome_phage_835	27.844519
virome_phage_997	0
total_phage_243	0
virome_phage_62	0
virome_phage_116	0
virome_phage_752	0
total_phage_788	0
virome_phage_34	0
virome_phage_2329	0
total_phage_663	0
virome_phage_2402	0
virome_phage_2303	4.054538
virome_phage_35	0
total_phage_249	0
total_phage_187	0
virome_phage_857	0
virome_phage_899	0
total_phage_526	0
virome_phage_876	16.711367
virome_phage_770	2.0693114
virome_phage_846	5.712503
virome_phage_2380	0
virome_phage_2274	0
total_phage_730	0
total_phage_786	0
virome_phage_49	0
total_phage_727	0
virome_phage_202	0
virome_phage_901	0
total_phage_117	0
virome_phage_2345	0
virome_phage_812	2.439016
virome_phage_142	0
virome_phage_31	0
virome_phage_181	0
virome_phage_67	12.5155525
virome_phage_855	0
virome_phage_898	0
virome_phage_48	0
virome_phage_851	0
total_phage_9	0
virome_phage_41	0
total_phage_297	0
total_phage_360	0
total_phage_12	0
virome_phage_778	8.384615
virome_phage_854	1.5536736
total_phage_639	0
virome_phage_864	0
virome_phage_993	179.64389
total_phage_418	0
virome_phage_2263	0
total_phage_125	0
virome_phage_2368	15.9649725
total_phage_696	0
virome_phage_275	0
total_phage_731	0
total_phage_930	0
virome_phage_2270	0
virome_phage_118	15.163685
total_phage_294	6.7355666
virome_phage_2398	0
total_phage_524	0
total_phage_787	0
virome_phage_1131	0
total_phage_366	0
virome_phage_766	0
total_phage_798	0
virome_phage_792	9.59535
total_phage_175	6.364339
virome_phage_2254	0
virome_phage_2342	0
total_phage_483	0
virome_phage_890	4.7592874
virome_phage_2914	0
total_phage_413	84.42943
total_phage_512	0
virome_phage_2624	0
total_phage_113	47.927338
virome_phage_42	0
virome_phage_894	0
total_phage_104	0
virome_phage_1082	0
virome_phage_2235	16.273197
virome_phage_2312	0
total_phage_174	0
virome_phage_117	0
virome_phage_77	0
virome_phage_829	4.966826
virome_phage_815	6.367356
virome_phage_2333	0
virome_phage_2356	0
virome_phage_2343	25.096546
virome_phage_1849	0
virome_phage_960	82.98809
virome_phage_272	0
virome_phage_1063	0
virome_phage_782	1.6268538
virome_phage_847	0
virome_phage_177	0
virome_phage_808	6.323286
virome_phage_12	0
virome_phage_866	0
virome_phage_56	0
virome_phage_50	0
virome_phage_2599	0
total_phage_500	0
total_phage_239	7.6869435
total_phage_785	3.5051377
total_phage_783	0
virome_phage_22	0
virome_phage_834	3.5643082
virome_phage_1507	0
virome_phage_2409	0
virome_phage_2401	0
virome_phage_825	0
total_phage_658	0
virome_phage_913	0
total_phage_242	0
total_phage_18	0
virome_phage_1236	2.7016327
virome_phage_2330	0
virome_phage_153	23.054844
virome_phage_2465	0
virome_phage_14	0
virome_phage_1675	2.0827825
virome_phage_809	0
total_phage_737	0
total_phage_246	0
virome_phage_193	0
virome_phage_83	0
virome_phage_749	3.620148
total_phage_820	0
virome_phage_780	0
virome_phage_797	4.9863367
virome_phage_2323	0
virome_phage_831	0
total_phage_735	0
total_phage_738	0
virome_phage_833	0
virome_phage_881	2.5890114
total_phage_479	0
virome_phage_759	11.931931
virome_phage_843	1.3456954
virome_phage_2496	0
virome_phage_115	2.1867926
total_phage_650	0
virome_phage_903	0
total_phage_711	0
virome_phage_819	32.224392
virome_phage_860	0
virome_phage_32	0
virome_phage_798	63.21964
virome_phage_91	0
virome_phage_742	0
virome_phage_882	2.7524471
total_phage_416	0
virome_phage_791	367.96848
total_phage_733	0
total_phage_102	3.9927392
total_phage_454	0
virome_phage_98	0
